Nährstoff,Wirkstoff,Einnahme (Einheit),Einnahme (Gesamt),Einnahme (Morgens Nüchtern),Einnahme (Frühstück),Einnahme (Mittags/Training),Einnahme (Abendessen),Einnahme (Nachts),Bioverfügbarkeit,Einnahmeart,Einnahmefrequenz,Kategorie,Ziel / Wirkung,Kommentar
NMN,Uthever,mg,500,500,,,,,hoch,mit Wasser,täglich,"Mitochondrien, Langlebigkeit, Methylierung","NAD⁺-Booster, Zellalterung, Energie",
TMG,Betain,mg,1000,1000,,,,,hoch,mit Wasser,täglich,Methylierung,"Methylierung, Homocystein-Senkung",
MCT-Öl,Caprylsäure (C8),ml,"7,5","2,5",,"2,5","2,5",,ideal,mit Wasser,täglich,"Ketose, Energie","Ketose, schnelle Energie, Fokus",
L-Tyrosin,L-Tyrosin,mg,1000,1000,,,,,mittel,mit Wasser,täglich,"Fokus, Neurotransmitter","Dopamin-Vorstufe, Fokus, Antrieb",
L-Taurin,L-Taurin,mg,2000,1000,,,,1000,hoch,mit Wasser,täglich,"Zellschutz, Elektrolyte, Fokus","Zellschutz, Galle, Herz, Nervenberuhigung",
L-Carnitin-Tartrat,L-Carnitin-Tartrat,mg,1000,1000,,,,,mittel,mit Wasser,täglich,"Mitochondrien, Fettstoffwechsel","Fetttransport, körperliche Leistungsfähigkeit",
Acetyl-L-Carnitin,Acetyl-L-Carnitin,mg,1000,1000,,,,,hoch,mit Wasser,täglich,"Mitochondrien, Neuroprotektion","Mitochondrien, Hirnleistung, Anti-Fatigue",
Vitamin A (Retinol),Retinylpalmitat,µg,500,500,,,,,hoch,mit Wasser,täglich,"Vitamine, Immunsystem","Sehkraft, Haut, Immunsystem",
Chrom,Chrompicolinat,µg,200,200,,,,,hoch,mit Wasser,täglich,"Blutzucker, Spurenelement","Insulinsensitivität, Blutzucker-Stabilität",
Vitamin C,Calcium-L-Ascorbat,mg,1000,500,,,,500,hoch,mit Wasser,täglich,"Antioxidans, Immunsystem","Antioxidans, Nebennieren, Entgiftung",
Vitamin D3,Cholecalciferol,I.E.,5000,,5000,,,,ideal,mit Mahlzeit,täglich,"Hormonmodulator, Immunsystem","Hormonregulation, Immunfunktion, Energie",
Vitamin K2,MK-7 (all-trans),µg,150,,150,,,,ideal,mit Mahlzeit,täglich,"Knochen, Gefäßschutz","Arterienschutz, Knochen, synergistisch mit D3",
Vitamin E,"Gemischte Tocopherole (α 90 mg, β 9 mg, γ 60 mg, δ 23 mg) + Tocotrienole (α 19 mg, β 1 mg, γ 7 mg, δ 23 mg) + Squalen 5 mg + Phytosterole",mg TE,100,,100,,,,ideal,mit Mahlzeit,täglich,Antioxidans,"Zellmembranschutz, antioxidativ, entzündungshemmend",
